,pit_id,depth,grain_size,site_name,latitude,longitude,date,height,density,temperature
104,COGM1N5_20200211,70.0,5.0,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,262.0,-7.0
105,COGM1N5_20200211,80.0,1.5,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,293.5,-6.8
106,COGM1N5_20200211,90.0,0.5,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,237.0,-5.1
107,COGM1N6_20200128,0.0,,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,,-0.4
108,COGM1N6_20200128,10.0,0.5,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,,-1.2
109,COGM1N6_20200128,20.0,3.0,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,268.5,-1.8
110,COGM1N6_20200128,20.0,3.0,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,276.0,-1.8
111,COGM1N6_20200128,30.0,,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,279.5,-2.2
112,COGM1N6_20200128,40.0,,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,248.5,-3.0
113,COGM1N6_20200128,50.0,3.0,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,244.5,-3.8
114,COGM1N6_20200128,60.0,1.5,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,237.5,-5.2
115,COGM1N6_20200128,70.0,,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,232.5,-7.6
116,COGM1N6_20200128,80.0,1.5,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,217.5,-10.6
117,COGM1N6_20200128,90.0,0.5,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,182.0,-10.3
118,COGM1N6_20200128,90.0,0.5,Grand Mesa,39.03595624802808,-108.20975279652006,2020-01-28,92.0,182.0,-9.9
119,COGM1N7_20200211,0.0,,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,,-0.6
120,COGM1N7_20200211,10.0,,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,300.0,-1.2
121,COGM1N7_20200211,10.0,,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,302.0,-1.2
122,COGM1N7_20200211,20.0,3.0,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,295.0,-1.7
123,COGM1N7_20200211,30.0,,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,320.6666666666667,-2.3
124,COGM1N7_20200211,40.0,3.0,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,284.5,-3.3
125,COGM1N7_20200211,50.0,,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,340.5,-4.8
126,COGM1N7_20200211,60.0,3.25,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,291.6666666666667,-6.8
128,COGM1N7_20200211,70.0,0.5,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,309.5,-7.9
129,COGM1N7_20200211,80.0,0.5,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,413.5,-6.6
130,COGM1N7_20200211,80.0,0.5,Grand Mesa,39.03205958353486,-108.20579406225173,2020-02-11,84.0,413.5,-6.7
131,COGM1S12_20200211,0.0,,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,,-1.1
132,COGM1S12_20200211,10.0,3.0,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,,-0.7
133,COGM1S12_20200211,20.0,3.0,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,307.5,-1.1
134,COGM1S12_20200211,30.0,3.0,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,274.5,-1.7
135,COGM1S12_20200211,40.0,3.0,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,278.5,-2.7
136,COGM1S12_20200211,50.0,,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,291.3333333333333,-3.5
137,COGM1S12_20200211,60.0,3.25,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,307.6666666666667,-4.9
139,COGM1S12_20200211,70.0,,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,327.0,-7.5
140,COGM1S12_20200211,80.0,0.5,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,276.0,-13.0
141,COGM1S12_20200211,90.0,1.0,Grand Mesa,39.01826351214106,-108.19141685766095,2020-02-11,90.0,323.0,-17.1
143,COGM1S13_20200205,0.0,3.0,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,,-1.4
144,COGM1S13_20200205,10.0,,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,289.0,-2.8
145,COGM1S13_20200205,20.0,,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,324.5,-3.7
146,COGM1S13_20200205,30.0,,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,351.5,-4.4
147,COGM1S13_20200205,40.0,1.5,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,321.0,-6.1
148,COGM1S13_20200205,50.0,,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,323.0,-8.6
149,COGM1S13_20200205,60.0,,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,324.0,-12.4
150,COGM1S13_20200205,70.0,,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,278.5,-17.3
151,COGM1S13_20200205,80.0,1.0,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,351.0,-16.5
153,COGM1S13_20200205,80.0,1.0,Grand Mesa,39.0177894009436,-108.19006136493464,2020-02-05,83.0,351.0,-16.7
155,COGM1S17_20200208,0.0,,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,,-0.6
156,COGM1S17_20200208,10.0,1.5,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,,-1.1
157,COGM1S17_20200208,20.0,,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,283.6666666666667,-2.1
158,COGM1S17_20200208,30.0,3.0,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,314.5,-3.0
159,COGM1S17_20200208,40.0,,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,305.5,-3.9
160,COGM1S17_20200208,50.0,3.0,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,276.5,-4.9
161,COGM1S17_20200208,60.0,1.5,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,286.5,-5.5
162,COGM1S17_20200208,70.0,2.75,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,251.0,-6.4
164,COGM1S17_20200208,80.0,,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,298.0,-6.0
165,COGM1S17_20200208,90.0,1.5,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,274.5,-4.3
166,COGM1S17_20200208,100.0,1.5,Grand Mesa,39.019751748108874,-108.18178402549249,2020-02-08,98.0,346.5,-4.2
167,COGM1S1_20200129,0.0,,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,,-0.6
168,COGM1S1_20200129,10.0,3.0,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,263.5,-1.2
169,COGM1S1_20200129,20.0,,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,250.0,-1.6
170,COGM1S1_20200129,30.0,3.0,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,232.0,-2.6
171,COGM1S1_20200129,40.0,,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,269.0,-3.5
172,COGM1S1_20200129,50.0,1.5,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,280.5,-5.2
173,COGM1S1_20200129,60.0,1.0,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,258.5,-6.6
175,COGM1S1_20200129,70.0,,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,219.0,-7.3
176,COGM1S1_20200129,80.0,1.0,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,188.0,-9.6
178,COGM1S1_20200129,80.0,1.0,Grand Mesa,39.02119895283987,-108.20559829681612,2020-01-29,83.0,188.0,-9.9
180,COGM1S2_20200208,0.0,,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,,-2.0
181,COGM1S2_20200208,10.0,3.0,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,,-3.0
182,COGM1S2_20200208,20.0,1.5,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,273.0,-3.6
183,COGM1S2_20200208,20.0,1.5,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,279.0,-3.6
184,COGM1S2_20200208,30.0,2.25,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,312.0,-4.3
186,COGM1S2_20200208,40.0,,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,287.0,-5.0
187,COGM1S2_20200208,50.0,1.5,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,262.0,-5.9
188,COGM1S2_20200208,60.0,1.5,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,249.5,-6.8
189,COGM1S2_20200208,70.0,1.5,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,274.5,-8.0
190,COGM1S2_20200208,80.0,0.5,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,285.3333333333333,-8.4
191,COGM1S2_20200208,80.0,0.5,Grand Mesa,39.01994791885283,-108.2033955621495,2020-02-08,82.0,285.3333333333333,-8.6
192,COGM1S8_20200201,0.0,,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,,-2.0
193,COGM1S8_20200201,10.0,1.5,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,278.6666666666667,-3.6
194,COGM1S8_20200201,20.0,1.5,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,293.5,-4.5
195,COGM1S8_20200201,30.0,1.5,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,278.5,-5.2
196,COGM1S8_20200201,40.0,3.0,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,284.0,-6.7
197,COGM1S8_20200201,50.0,3.0,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,233.5,-8.2
198,COGM1S8_20200201,60.0,5.0,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,230.0,-10.4
199,COGM1S8_20200201,70.0,1.0,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,229.0,-13.5
201,COGM1S8_20200201,70.0,1.0,Grand Mesa,39.02165669746245,-108.19764604203829,2020-02-01,74.0,229.0,-15.0
